probe,Mode,Aperture,TxFrequency_MHz,Location_mm,Focus_mm,Voltage_V,PPP_MPa,PNP_abs_MPa,NumTrials
GE624D,pAM,65.0,12.5,5.0,5.0,1.6,0.4934863022174398,0.5263848548309693,3.0
GE624D,pAM,65.0,12.5,5.0,5.0,2.0,0.6486177754477609,0.7088834388296332,3.0
GE624D,pAM,65.0,12.5,5.0,5.0,3.0,0.997082705426504,1.1473240692241167,3.0
GE624D,pAM,65.0,12.5,5.0,5.0,4.0,1.3000958683355153,1.5592574903506353,3.0
GE624D,pAM,65.0,12.5,5.0,5.0,5.0,1.573022151892015,1.942295859159626,3.0
GE624D,pAM,65.0,12.5,5.0,5.0,6.0,1.8347342053509212,2.2878080835779016,3.0
GE624D,pAM,65.0,12.5,5.0,5.0,7.0,2.0662754870883058,2.5837810449435707,3.0
GE624D,pAM,65.0,12.5,5.0,5.0,8.0,2.2566942324648314,2.824493962110841,3.0
GE624D,pAM,65.0,12.5,5.0,5.0,9.0,2.391224637593846,3.027531091101345,3.0
GE624D,pAM,65.0,12.5,5.0,5.0,10.0,2.523273483893196,3.184428278028449,3.0
GE624D,pAM,65.0,12.5,5.0,5.0,11.0,2.651196643030129,3.2887963492930097,3.0
GE624D,pAM,65.0,12.5,5.0,5.0,12.0,2.7539886728988505,3.383019124919391,3.0
GE624D,pAM,65.0,12.5,5.0,5.0,13.0,2.8011211476794116,3.5051438000892503,3.0
GE624D,pAM,65.0,12.5,5.0,5.0,14.0,2.845086731433898,3.605558468843365,3.0
GE624D,pAM,65.0,12.5,5.0,5.0,15.0,2.8987009666163934,3.685613370068418,3.0
GE624D,pAM,65.0,12.5,5.0,5.0,16.0,2.9683195740958617,3.7413948802852413,3.0
GE624D,pAM,65.0,12.5,5.0,5.0,17.0,3.02253424215514,3.8167128213774646,3.0
GE624D,pAM,65.0,12.5,5.0,5.0,18.0,3.073947229302069,3.8761819437444687,3.0
